file	line	anchor	info	status	wrap	v26	v27	vsim27	v27on26	vsim27on26	err_line	first_error
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1654	105-toolcallingmode-270	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1726	111-the-type	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1769	112-where-you-read-it	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1794	113-cache-hit-rate	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1850	121-six-entry-types	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1882	122-entry-payloads	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1937	123-four-segment-types	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1948	123-four-segment-types	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1973	123-four-segment-types	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1992	123-four-segment-types	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	2019	124-rendering-a-transcript	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	2053	124-rendering-a-transcript	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	2074	124-rendering-a-transcript	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	2116	13-a-complete-swiftui-example-with-cancellation	compile:27	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	2386	132-cancellation-honestly	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	2455	14-errors-the-three-type-taxonomy	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	2480	14-errors-the-three-type-taxonomy	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	115	21-the-protocol-the-macro-conforms-you-to	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	125	21-the-protocol-the-macro-conforms-you-to	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	141	21-the-protocol-the-macro-conforms-you-to	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	157	22-the-three-macro-spellings	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	198	23-the-canonical-shape	xfail:27 imports:FoundationModels	XFAIL-PROVEN	mixed	-	xfail-pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	229	23-the-canonical-shape	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	248	23-the-canonical-shape	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	281	24-primitives-are-generable-targets-too	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	299	25-generationid-and-why-you-cannot-use-name-as-an-identity	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	356	27-guided-generation-over-images-attachment--imagereference--attachmentlabel	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	378	27-guided-generation-over-images-attachment--imagereference--attachmentlabel	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	394	27-guided-generation-over-images-attachment--imagereference--attachmentlabel	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	408	27-guided-generation-over-images-attachment--imagereference--attachmentlabel	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	420	27-guided-generation-over-images-attachment--imagereference--attachmentlabel	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	450	31-the-macro-forms	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	460	31-the-macro-forms	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	481	31-the-macro-forms	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	491	32-every-guide-with-apples-own-one-liners	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	565	34-what-happens-when-a-guide-is-not-supported	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	642	41-the-evidence-precisely	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	671	42-it-is-not-specific-to-the-macro	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	693	42-it-is-not-specific-to-the-macro	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	748	44-what-apple-recommends-instead	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	792	45-what-this-guide-recommends	compile:27 imports:Foundation	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	865	47-apples-own-code-validates-anyof-results	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	885	47-apples-own-code-validates-anyof-results	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	937	48-what-apples-own-2026-sample-apps-do-instead	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1017	52-the-evidence-both-apple-and-mlx-ship-xgrammar	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1064	53-the-actual-api-if-you-want-to-look-at-it	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1091	53-the-actual-api-if-you-want-to-look-at-it	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1244	62-why-silent--the-capability-declaration-can-be-optimistic	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1278	63-the-same-shape-on-other-backends	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1305	63-the-same-shape-on-other-backends	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1318	63-the-same-shape-on-other-backends	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1395	71-generationschema--the-finished-immutable-article	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1404	71-generationschema--the-finished-immutable-article	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1433	72-dynamicgenerationschema--the-builder	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1444	72-dynamicgenerationschema--the-builder	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1472	73-the-worked-example	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1490	73-the-worked-example	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1524	74-a-runtime-schema-end-to-end	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1635	75-the-foundation-models-json-schema-dialect	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/02-guided-generation-and-streaming.md	1666	8-generatedcontent-the-untyped-door	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
